"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;FOUND_IN;HITTA_OR_ENIRO;DATE
http://www.hitta.se/s%C3%B6k?vad=L%C3%B6vg%C3%A4rdets+v%C3%A5rdcentral%2CVaniljgatan+28;Lövgärdets vårdcentral;Närhälsan Lövgärdet vårdcentral, växel;Vaniljgatan 28;42445;Angered;031-7478550;http://www.narhalsan.se/lovgardetvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//angered+care+v%C3%A5rdcentral+och+bvc/angered/VL~gjw4vnO?vad=Angereds+Torg+12%2C+42465+Angered;Medical Center Vårdcentral;Angered Care Vårdcentral och BVC;Angereds Torg 12;42465;Angered;031-485557,031-466565;;Vardcentraler;HITTA;20151117
http://gulasidorna.eniro.se/f/n%C3%A4rh%C3%A4lsan-angered-v%C3%A5rdcentral:14400822;Vårdcentralen Angered;Närhälsan Angered vårdcentral;Angereds Torg 5 Angered Centrum;42465;Angered;031-7479600;www.narhalsan.se/angere...;Vardcentraler;ENIRO;20151117
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+hj%C3%A4llbo+v%C3%A5rdcentral/angered/0hT2Z54nnO?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Närhälsan Hjällbo vårdcentral, växel;Bergsgårdsgärdet 89 B;42432;Angered;031-7478300;http://www.narhalsan.se/hjallbovardcentral;Vardcentraler;HITTA;20151117
http://gulasidorna.eniro.se/f/ankarsrums-h%C3%A4lsocentral:14465127;Ankarsrums Hälsocentral;Ankarsrums hälsocentral;Kungsv 40;59370;Ankarsrum;0490-50400;www.ltkalmar.se;Vardcentraler;ENIRO;20151117
http://gulasidorna.eniro.se/f/grindberga-familjel%C3%A4karenhet:14553995;Grindberga Familjeläkarenhet AB;Grindberga familjeläkarenhet;Österled 30;73245;Arboga;0589-86520;www.ltv.se;Vardcentraler;ENIRO;20151117
http://www.hitta.se//folktandv%C3%A5rden+arboga/arboga/dRR_5ObkoJ?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Folktandvården Arboga;Österled 30;73245;Arboga;021-176880,0589-16969;http://www.ltv.se/ftv_arboga;Vardcentraler;HITTA;20151117
http://www.hitta.se//arbr%C3%A5+din+h%C3%A4lsocentral/arbr%C3%A5/Lxj_5n1qqb?vad=H%C3%A4lsocentralen+Arbr%C3%A5%2CStationsesplanaden+10;Hälsocentralen Arbrå;Arbrå din hälsocentral;Stationsesplanaden 10;82010;Arbrå;0278-38800,026-154000;http://www.lg.se/dinhalsocentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Arjeplogs+v%C3%A5rdcentral%2CDoktor+Wallquists+v%C3%A4g+3;Arjeplogs vårdcentral;Arjeplogs Hälsocentral Slagnäs Laisvall, växel;Doktor Wallquists Väg 3;93831;Arjeplog;0961-14800,0961-14800;http://www.nll.se/sv/Halsa-och-sjukvard/Vardcentraler1/Arjeplogs-halsocentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//din+doktor+i+m%C3%A4rsta+ab/arlandastad/hT2w-UHAAK?vad=Din+Doktor+AB;Din Doktor AB;Din Doktor i Märsta AB;Cederströms Slinga 2;19561;Arlandastad;08-59511160,08-59511165;http://www.dindoktor.eu;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Arl%C3%B6v%2CSvensh%C3%B6gsv%C3%A4gen+6;Vårdcentralen Arlöv;Barnmorskemottagning/Mödravårdscentral Arlövs Vårdcentral;Svenshögsvägen 6;23238;Arlöv;046-176955;;Vardcentraler;HITTA;20151117
http://gulasidorna.eniro.se/f/arvidsjaurs-v%C3%A5rdcentral:13349947;Arvidsjaurs vårdcentral;Arvidsjaurs Vårdcentral;Sjukstugeg 3;93331;Arvidsjaur;0960-10215;www.nll.se;Vardcentraler;ENIRO;20151117
NOT FOUND;Kinnekullehälsan VC Arvika;;;;;;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Verkstaden;Vårdcentralen Verkstaden;Vårdcentralen Verkstaden;Fabriksgatan 5;67132;Arvika;0570-712600;;Vardcentraler;HITTA;20151117
http://www.hitta.se//askersunds+v%C3%A5rdcentral/askersund/yhSMMswXX4?vad=Askersunds+v%C3%A5rdcentral%2CTorebergsv%C3%A4gen+15;Askersunds vårdcentral;Askersunds Vårdcentral;Torebergsvägen 15;69631;Askersund;0583-85710,019-6021000,019-6702531;http://www.orebroll.se/askersund;Vardcentraler;HITTA;20151117
http://www.hitta.se//hov%C3%A5s-askim+familjel%C3%A4kare+och+bvc/askim/VzTZs-vOOU?vad=Askims+Torg+5%2C+43643+Askim;Hovas Askim Familjeläkare o BVC;Hovås-Askim Familjeläkare & BVC;Askims Torg 5;43643;Askim;031-7279000;http://www.hovasaskimfamiljelakare.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Askim%2CDatav%C3%A4gen+1;Vårdcentralen Askim;Närhälsan Askim vårdcentral;Datavägen 1;43632;Askim;031-7479300;http://www.narhalsan.se/askimvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//avesta+v%C3%A5rdcentral/avesta/hh~WlwXmmn?vad=Avesta+v%C3%A5rdcentral%2CAvesta+lasarett;Avesta vårdcentral;Avesta Vårdcentral;Avesta Lasarett;77482;Avesta;0226-496270,0226-496428;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Krylbo+v%C3%A5rdcentral%2CAvesta+lasarett;Krylbo vårdcentral;Krylbo Vårdcentral, växel;Avesta Lasarett;77482;Avesta;0226-496360,0226-496426;;Vardcentraler;HITTA;20151117
http://www.hitta.se//skogsbo+v%C3%A5rdcentral/avesta/L~dlj-vOOU?vad=Skogsbo+v%C3%A5rdcentral%2CAvesta+lasarett;Skogsbo vårdcentral;Skogsbo Vårdcentral;Avesta Lasarett;77482;Avesta;0226-496460,0226-496433,0226-496475;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Backe+h%C3%A4lsocentral%2CLasarettsv%C3%A4gen+20;Backe hälsocentral;Backe Hälsocentral;Lasarettsvägen 20;88050;Backe;0624-512060;http://www.jll.se/folkhalsasjukochtandvard/halsocentraler/backe;Vardcentraler;HITTA;20151117
http://www.hitta.se//din+v%C3%A5rdcentral+bagarmossen/bagarmossen/~M24nou66F?vad=Din+V%C3%A5rdcentral+Bagarmossen+AB%2CLill%C3%A5v%C3%A4gen+68;Din Vårdcentral Bagarmossen AB;Din Vårdcentral Bagarmossen;Lillåvägen 68;12845;Bagarmossen;08-6881551,08-6881550,08-6881501;http://www.dvcb.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Capio+V%C3%A5rdcentral+Hags%C3%A4tra;Capio Vårdcentral Hagsätra;Capio Vårdcentral Hagsätra;Hagsätra Torg 7 B;12473;Bandhagen;08-12000990,08-12339000;http://www.capiovardcentral.se/Stockholm/Hagsatra/start;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Capio+V%C3%A5rdcentral+H%C3%B6gdalen%2C%C3%96nskehemsgatan+22;Capio Vårdcentral Högdalen;Capio Vårdcentral Högdalen;Önskehemsgatan 22;12454;Bandhagen;08-12000880;http://www.capiovardcentral.se/Stockholm/Hogdalen/start;Vardcentraler;HITTA;20151117
NOT FOUND;Carema Vårdcentral Rågsved;;;;;;;Vardcentraler;HITTA;20151117
http://gulasidorna.eniro.se/f/bankeryds-v%C3%A5rdcentral:7783427;Bankeryds vårdcentral;Bankeryds vårdcentral;Sjöåkrav 18;56431;Bankeryd;036-323800;www.lj.se/bankerydsvard...;Vardcentraler;ENIRO;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Bokskogen%2CBiblioteksgatan+22;Vårdcentralen Bokskogen;Vårdcentralen Bokskogen;Biblioteksgatan 22;23361;Bara;040-6239460;http://www.vardcentralenbokskogen.se;Vardcentraler;HITTA;20151117
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+bengtsfors+v%C3%A5rdcentral/bengtsfors/zTPCXvHGbk?vad=Storgatan+7%2C+66630+Bengtsfors;Vårdcentralen Nygård;Närhälsan Bengtsfors Vårdcentral;Storgatan 7;66630;Bengtsfors;010-4416310;http://www.narhalsan.se/bengtsforsvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//hamr%C3%A5nge+din+h%C3%A4lsocentral/bergby/zlw4nqoKK7?vad=Hamr%C3%A5nge+h%C3%A4lsocentral;Hamrånge hälsocentral;Hamrånge Din hälsocentral;Solbergavägen 2;81740;Bergby;0297-10191,0297-10510;;Vardcentraler;HITTA;20151117
http://gulasidorna.eniro.se/f/bergshamra-v%C3%A5rdcentral:10232693;Bergshamra Vårdcentral;Bergshamra vårdcentral;Rosenlundsv 2;76111;Bergshamra;0176-328310;www.tiohundra.se/;Vardcentraler;ENIRO;20151117
http://www.hitta.se/s%C3%B6k?vad=Bergsj%C3%B6+h%C3%A4lsocentral%2CB%C3%A5llebergsv%C3%A4gen+5;Bergsjö hälsocentral;Bergsjö Din hälsocentral;Bållebergsvägen 5;82070;Bergsjö;0652-36600,026-154000;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Linden+Din+h%C3%A4lsocentral%2CC+D+Ekmans+v%C3%A4g+37;Linden Din hälsocentral;Linden Din hälsocentral;C D Ekmans Väg 37;82023;Bergvik;0270-73399,026-154000;http://www.lg.se/dinhalsocentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=S%C3%A4r%C3%B6ledens+Familjel%C3%A4kare%2CKungsporten+5+B;Säröledens Familjeläkare;Säröledens Familjeläkare;Kungsporten 5 B;42750;Billdal;031-672260;http://www.notkarnan.se/saroleden;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Bjurholms+H%C3%A4lsocentral%2CStorgatan+16;Bjurholms Hälsocentral;Bjurholms hälsocentral;Storgatan 16;91631;Bjurholm;090-7854441,0932-10641;http://www.vll.se/default.aspx?id=23261&refid=23478;Vardcentraler;HITTA;20151117
http://www.hitta.se//solklart+v%C3%A5rd+i+bjuv+ab/bjuv/0TWss_nnU1?vad=Solklart+v%C3%A5rd;Solklart vård;Solklart Vård i Bjuv AB;Norra Storgatan 6;26731;Bjuv;042-4902600;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+S%C3%B6der%C3%A5sen%2CAlmgatan+1;Vårdcentralen Söderåsen;Vårdcentralen Söderåsen;Almgatan 1;26738;Bjuv;042-4060100,1177;http://www.vardcentralensoderasen.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=L%C3%A4karmottagning+i+Bj%C3%A4rnum%2CAlgatan+12;Läkarmottagning i Bjärnum;Läkarmottagningen i Bjärnum;Algatan 12;28020;Bjärnum;0451-21405;http://www.lakarmottbjarnum.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Sundets+L%C3%A4kargrupp%2CVikingav%C3%A4gen+1;Sundets Läkargrupp;Sundets Läkargrupp;Vikingavägen 1;23731;Bjärred;046-297370;http://www.sundetslakargrupp.se;Vardcentraler;HITTA;20151117
http://www.hitta.se//distriktssk%C3%B6terska+bj%C3%A4rreds+v%C3%A5rdcentral/bj%C3%A4rred/yVSSTg2Zs_?vad=V%C3%A5rdcentralen+Bj%C3%A4rred%2CVikingav%C3%A4gen+1;Vårdcentralen Bjärred;Distriktssköterska Bjärreds Vårdcentral;Vikingavägen 1;23731;Bjärred;046-297642,046-297643;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Bj%C3%A4sta+v%C3%A5rdcentral%2CHarmoniv%C3%A4gen+1;Bjästa vårdcentral;Bjästa Hälsocentral, växel;Harmonivägen 1;89330;Bjästa;0660-89950,0660-89953,0660-89954,0660-89963,0660-89962;http://www.lvn.se/bjasta;Vardcentraler;HITTA;20151117
http://www.hitta.se//blomsterm%C3%A5la+h%C3%A4lsocentral/blomsterm%C3%A5la/hM_mH7eEEa?vad=Blomsterm%C3%A5la+v%C3%A5rdcentral%2CStationsgatan+2;Blomstermåla vårdcentral;Blomstermåla hälsocentral;Stationsgatan 2;38430;Blomstermåla;0499-20930,1177;http://www.ltkalmar.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Bodafors+V%C3%A5rdcentral%2CTorget+1;Bodafors Vårdcentral;Bodafors Vårdcentral;Torget 1;57162;Bodafors;0380-553710;http://www.lj.se/vardcentralernabraliv/Vardcentraler/Bodaforsvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Bj%C3%B6rkn%C3%A4s+v%C3%A5rdcentral%2CIdrottsgatan+3;Björknäs vårdcentral;Björknäs Hälsocentral;Idrottsgatan 3;96164;Boden;0921-10906,0921-66100;http://nll.se/sv/Halsa-och-sjukvard/Vardcentraler1/Boden/Bjorknas-vardcentral/;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Erikslunds+v%C3%A5rdcentral%2CGammel%C3%A4ngsgatan;Erikslunds vårdcentral;Erikslunds Hälsocentral;Gammelängsgatan;96167;Boden;0921-13045,1177,1177;http://www.nll.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Sanden%2CSturegatan+20+A;Vårdcentralen Sanden;Sandens Hälsocentral;Sturegatan 20 A;96133;Boden;0921-66080,0921-13003,0921-66273,0921-66274,0921-66117,0921-66118,0921-66116,0921-66045,0921-51080;;Vardcentraler;HITTA;20151117
http://www.hitta.se//sensia+h%C3%A4lsocentral/boden/~Wj5vbJA7e?vad=Kungsgatan+22%2C+96131+Boden;Vårdcentralen Åkerbäret;Sensia Hälsocentral;Kungsgatan 22;96131;Boden;0921-50501;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Bohuspraktiken%2CG%C3%B6teborgsv%C3%A4gen+219;Bohuspraktiken;Bohuspraktiken;Göteborgsvägen 219;44537;Bohus;031-979540;http://www.bohuspraktiken.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Bolidens+v%C3%A5rdcentral%2CRingen+76;Bolidens vårdcentral;Boliden hälsocentral;Ringen 76;93631;Boliden;090-7859123,0910-580332;http://www.vll.se/default.aspx?id=22025&refid=23479;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Bollebygd%2CG%C3%A4stgivarev%C3%A4gen+8;Vårdcentralen Bollebygd;Närhälsan Bollebygd vårdcentral;Gästgivarevägen 8;51736;Bollebygd;010-4416100;http://www.narhalsan.se/bollebygdvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//aleris+specialistv%C3%A5rd+bolln%C3%A4s/bolln%C3%A4s/y0Vhglj2s_?vad=Sjukhusv%C3%A4gen+81%2C+82131+Bolln%C3%A4s;Aleris Hälsocentral Bollnäs;Aleris Specialistvård Bollnäs;Sjukhusvägen 81;82131;Bollnäs;0278-38000;http://www.aleris.se/bollnas;Vardcentraler;HITTA;20151117
http://www.hitta.se//borensbergs+v%C3%A5rdcentral/borensberg/VSSPZ-vOOU?vad=V%C3%A5rdcentralen+Borensberg%2CHamnv%C3%A4gen+3;Vårdcentralen Borensberg;Borensbergs Vårdcentral;Hamnvägen 3 B;59031;Borensberg;010-1059800,010-1047942;http://www.lio.se;Vardcentraler;HITTA;20151117
http://www.hitta.se//barnh%C3%A4lsov%C3%A5rden+borgholms+v%C3%A5rdcentral/borgholm/zzMWP-OU1H?vad=Borgholms+v%C3%A5rdcentral%2CTullgatan;Borgholms vårdcentral;Barnhälsovården Borgholms Vårdcentral;Tullgatan 38;38734;Borgholm;0485-15166,0485-15186;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentral+Domnarvet%2CBergebyv%C3%A4gen;Vårdcentral Domnarvet;Vårdcentral Domnarvet;Bergebyvägen 5;78473;Borlänge;0243-497250;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentral+L%C3%A4karhuset%2CGyllehemsv%C3%A4gen+10;Vårdcentral Läkarhuset;Läkarhuset;Gyllehemsvägen 10;78460;Borlänge;0243-228008;http://www.lakarhusen.se;Vardcentraler;HITTA;20151117
http://www.hitta.se//v%C3%A5rdcentralen+jakobsg%C3%A5rdarna/borl%C3%A4nge/~g2w-1qooJ?vad=V%C3%A5rdcentralen+Jakobsg%C3%A5rdarna%2CJaxtorget+7+A;Vårdcentralen Jakobsgårdarna;Vårdcentralen Jakobsgårdarna;Jaxtorget 7 A;78453;Borlänge;0243-497700;;Vardcentraler;HITTA;20151117
http://www.hitta.se//v%C3%A5rdcentralen+kvarnsveden/borl%C3%A4nge/ydRZ_mUGGq?vad=V%C3%A5rdcentralen+Kvarnsveden%2CM%C3%A4rkargatan+23;Vårdcentralen Kvarnsveden;Vårdcentralen Kvarnsveden;Märkargatan 23;78466;Borlänge;0243-497920;;Vardcentraler;HITTA;20151117
http://www.hitta.se//novakliniken/borrby/dl24nbuQB6?vad=Novakliniken+Borrby%2CKyrkostigen+2;Novakliniken Borrby;Novakliniken;Kyrkostigen 2;27630;Borrby;0411-20515;http://www.novakliniken.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=All%C3%A9kliniken+Sleipner%2CAll%C3%A9gatan+39;Allékliniken Sleipner;Allékliniken Sleipner Vårdcentral;Allégatan 39;50332;Borås;033-7246400;http://www2.praktikertjanst.se/6/Allekliniken-Sleipner/;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Herkules+V%C3%A5rdcentral%2CV%C3%A4sterl%C3%A5nggatan+1;Herkules Vårdcentral;Herkules Vårdcentral;Västerlånggatan 1;11129;Stockholm;033-205770;http://www.herkulesvardcentral.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Boda%2CSm%C3%B6rhulegatan+2;Vårdcentralen Boda;Närhälsa Boda vårdcentral;Smörhulegatan 2;50742;Borås;010-4358020,010-4358046,010-4358020;http://www.narhalsan.se/bodavardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Heimdal%2CSteng%C3%A4rdsgatan+22;Vårdcentralen Heimdal;Närhälsan Heimdal vårdcentral;Stengärdsgatan 22;50334;Borås;010-4359170;http://www.narhalsan.se/heimdalvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Sj%C3%B6bo%2CSj%C3%B6bo+Torggata+4;Vårdcentralen Sjöbo;Närhälsan Sjöbo vårdcentral;Sjöbo Torggata 4;50642;Borås;033-6161812,033-6161812,033-6161812;http://www.narhalsan.se/sjobovardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+S%C3%B6dra+Torget%2CKvarngatan+4;Vårdcentralen Södra Torget;Närhälsan Södra Torget vårdcentral;Kvarngatan 4;50336;Borås;033-124880;http://www.narhalsan.se/sodratorgetvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Trandared%2CKindsgatan+1;Vårdcentralen Trandared;Närhälsan Trandared vårdcentral, växel;Kindsgatan 1;50450;Borås;010-4359100;http://www.narhalsan.se/trandaredvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Boxholm%2CCentrumgatan+1;Vårdcentralen Boxholm;Barnavårdscentral Boxholm Vårdcentral;Centrumgatan 1;59011;Boxholm;010-1048610;http://www.lio.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Brandbergens+v%C3%A5rdcentral%2CJungfruns+gata+416-419;Brandbergens vårdcentral;Brandbergens Vårdcentral;Jungfruns Gata 416-419;13660;Brandbergen;08-6061400;http://www.slso.sll.se/SLPOtemplates/SLPOPage1____2099.aspx;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Brastads+v%C3%A5rdcentral%2CL%C3%A4karv%C3%A4gen+4;Brastads vårdcentral;Närhälsan Brastad vårdcentral;Läkarvägen 4;45431;Brastad;010-4416900,0523-48337;http://www.narhalsan.se/brastadvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Bra%C3%A5s%2CSj%C3%B6s%C3%A5sv%C3%A4gen+46;Vårdcentralen Braås;Vårdcentralen Braås, växel;Sjösåsvägen 46;36042;Braås;0474-499820,0470-588000;http://www.ltkronoberg.se/vcbraas;Vardcentraler;HITTA;20151117
http://www.hitta.se//bredbyn+h%C3%A4lsocentral/bredbyn/zWllC-vmOU?vad=Olympiav%C3%A4gen+8%2C+89530+Bredbyn;Bredbyns vårdcentral;Bredbyn Hälsocentral;Olympiavägen 8;89530;Bredbyn;0661-654100;http://www.lvn.se/bredbyn;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Capio+V%C3%A5rdcentral+Bro;Capio Vårdcentral Bro;Capio Vårdcentral Bro;Bro Centrum 3;19731;Bro;08-12001050,08-12001054,1177,08-58480911,08-58480930,08-12001051,08-58480918;http://www.capiovardcentral.se/Stockholm/Bro/start;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Capio+Citykliniken+Broby%2CSnapphanegatan+1;Capio Citykliniken Broby;Capio Citykliniken Broby, växel;Snapphanegatan 1;28060;Broby;044-7818040,044-7818052;http://www.capiovardcentral.se/Skane/Broby/Broby;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Blackebergs+V%C3%A5rdcentral%2CVinjegatan+8;Blackebergs Vårdcentral;Blackeberg Vårdcentral, växel;Vinjegatan 8;16847;Bromma;08-50578900;http://www.legevisitten.se/meny.aspx?menyID=422;Vardcentraler;HITTA;20151117
